😀  Grinning Face
😃  Grinning Face with Big Eyes
😄  Grinning Face with Smiling Eyes
😁  Beaming Face with Smiling Eyes
😆  Grinning Squinting Face
😅  Grinning Face with Sweat
🤣  Rolling on the Floor Laughing
😂  Face with Tears of Joy
🙂  Slightly Smiling Face
😉  Winking Face
😊  Smiling Face with Smiling Eyes
😇  Smiling Face with Halo
🥰  Smiling Face with Hearts
😍  Smiling Face with Heart-Eyes
🤩  Star-Struck
😘  Face Blowing a Kiss
😗  Kissing Face
☺️  Smiling Face
😚  Kissing Face with Closed Eyes
😙  Kissing Face with Smiling Eyes
🥲  Smiling Face with Tear
😏  Smirking Face
😋  Face Savoring Food
😛  Face with Tongue
😜  Winking Face with Tongue
🤪  Zany Face
😝  Squinting Face with Tongue
🤗  Smiling Face with Open Hands
🤭  Face with Hand Over Mouth
🫢  Face with Open Eyes and Hand Over Mouth
🫣  Face with Peeking Eye
🤫  Shushing Face
🤔  Thinking Face
🫡  Saluting Face
🤤  Drooling Face
🤠  Cowboy Hat Face
🥳  Partying Face
🥸  Disguised Face
😎  Smiling Face with Sunglasses
🤓  Nerd Face
🧐  Face with Monocle
🙃  Upside-Down Face
🫠  Melting Face
🤐  Zipper-Mouth Face
🤨  Face with Raised Eyebrow
😐  Neutral Face
😑  Expressionless Face
😶  Face Without Mouth
🫥  Dotted Line Face
😶‍🌫️  Face in Clouds
😒  Unamused Face
🙄  Face with Rolling Eyes
😬  Grimacing Face
😮‍💨  Face Exhaling
🤥  Lying Face
🫨  Shaking Face
😌  Relieved Face
😔  Pensive Face
😪  Sleepy Face
😴  Sleeping Face
😷  Face with Medical Mask
🤒  Face with Thermometer
🤕  Face with Head-Bandage
🤢  Nauseated Face
🤮  Face Vomiting
🤧  Sneezing Face
🥵  Hot Face
🥶  Cold Face
🥴  Woozy Face
😵  Face with Crossed-Out Eyes
😵‍💫  Face with Spiral Eyes
🤯  Exploding Head
🥱  Yawning Face
😕  Confused Face
🫤  Face with Diagonal Mouth
😟  Worried Face
🙁  Slightly Frowning Face
☹️  Frowning Face
😮  Face with Open Mouth
😯  Hushed Face
😲  Astonished Face
😳  Flushed Face
🥺  Pleading Face
🥹  Face Holding Back Tears
😦  Frowning Face with Open Mouth
😧  Anguished Face
😨  Fearful Face
😰  Anxious Face with Sweat
😥  Sad but Relieved Face
😢  Crying Face
😭  Loudly Crying Face
😱  Face Screaming in Fear
😖  Confounded Face
😣  Persevering Face
😞  Disappointed Face
😓  Downcast Face with Sweat
😩  Weary Face
😫  Tired Face
😤  Face with Steam From Nose
😡  Enraged Face
😠  Angry Face
🤬  Face with Symbols on Mouth
👿  Angry Face with Horns
😈  Smiling Face with Horns
👿  Angry Face with Horns
💀  Skull
☠️  Skull and Crossbones
💩  Pile of Poo
🤡  Clown Face
👹  Ogre
👺  Goblin
👻  Ghost
👽  Alien
👾  Alien Monster
🤖  Robot
😺  Grinning Cat
😸  Grinning Cat with Smiling Eyes
😹  Cat with Tears of Joy
😻  Smiling Cat with Heart-Eyes
😼  Cat with Wry Smile
😽  Kissing Cat
🙀  Weary Cat
😿  Crying Cat
😾  Pouting Cat
🙈  See-No-Evil Monkey
🙉  Hear-No-Evil Monkey
🙊  Speak-No-Evil Monkey
---
👋  Waving Hand
🤚  Raised Back of Hand
🖐️  Hand with Fingers Splayed
✋  Raised Hand
🖖  Vulcan Salute
🫱  Rightwards Hand
🫲  Leftwards Hand
🫳  Palm Down Hand
🫴  Palm Up Hand
🫷  Leftwards Pushing Hand
🫸  Rightwards Pushing Hand
👌  OK Hand
🤌  Pinched Fingers
🤏  Pinching Hand
✌️  Victory Hand
🤞  Crossed Fingers
🫰  Hand with Index Finger and Thumb Crossed
🤟  Love-You Gesture
🤘  Sign of the Horns
🤙  Call Me Hand
👈  Backhand Index Pointing Left
👉  Backhand Index Pointing Right
👆  Backhand Index Pointing Up
🖕  Middle Finger
👇  Backhand Index Pointing Down
☝️  Index Pointing Up
🫵  Index Pointing at the Viewer
👍  Thumbs Up
👎  Thumbs Down
✊  Raised Fist
👊  Oncoming Fist
🤛  Left-Facing Fist
🤜  Right-Facing Fist
👏  Clapping Hands
🙌  Raising Hands
🫶  Heart Hands
👐  Open Hands
🤲  Palms Up Together
🤝  Handshake
🙏  Folded Hands
✍️  Writing Hand
💅  Nail Polish
🤳  Selfie
💪  Flexed Biceps
🦾  Mechanical Arm
🦿  Mechanical Leg
🦵  Leg
🦶  Foot
👂  Ear
🦻  Ear with Hearing Aid
👃  Nose
🧠  Brain
🫀  Anatomical Heart
🫁  Lungs
🦷  Tooth
🦴  Bone
👀  Eyes
👅  Tongue
👄  Mouth
🫦  Biting Lip
👣  Footprints
🧬  DNA
🩸  Drop of Blood
---
👶  Baby
🧒  Child
👦  Boy
👧  Girl
🧑  Person
👱  Person: Blond Hair
👨  Man
🧔  Person: Beard
🧔‍♂️  Man: Beard
🧔‍♀️  Woman: Beard
👨‍🦰  Man: Red Hair
👨‍🦱  Man: Curly Hair
👨‍🦳  Man: White Hair
👨‍🦲  Man: Bald
👩  Woman
👩‍🦰  Woman: Red Hair
🧑‍🦰  Person: Red Hair
👩‍🦱  Woman: Curly Hair
🧑‍🦱  Person: Curly Hair
👩‍🦳  Woman: White Hair
🧑‍🦳  Person: White Hair
👩‍🦲  Woman: Bald
🧑‍🦲  Person: Bald
👱‍♀️  Woman: Blond Hair
👱‍♂️  Man: Blond Hair
🧓  Older Person
👴  Old Man
👵  Old Woman
🧏  Deaf Person
🧏‍♂️  Deaf Man
🧏‍♀️  Deaf Woman
👳  Person Wearing Turban
👳‍♂️  Man Wearing Turban
👳‍♀️  Woman Wearing Turban
👲  Person with Skullcap
🧕  Woman with Headscarf
🤰  Pregnant Woman
🫃  Pregnant Man
🫄  Pregnant Person
👼  Baby Angel
🗣️  Speaking Head
👤  Bust in Silhouette
👥  Busts in Silhouette
🦰  Red Hair
🦱  Curly Hair
🦲  Bald
🦳  White Hair
---
🙍‍♂️  Man Frowning
